Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"KINEPOLIS GROUP";BE0974274061;KIN;"Euronext Brussels";EUR;55.60;55.80;54.35;54.50;"18/01/22 17:35";CET;28565;1569999.45
"LOTUS BAKERIES";BE0003604155;LOTB;"Euronext Brussels";EUR;5660.00;5660.00;5550.00;5560.00;"18/01/22 17:35";CET;315;1763160.00
"MARATHON OIL CORP";US5658491064;MROIL;"Traded not listed Brussels";USD;16.00;16.00;16.00;16.00;"12/10/21 09:08";CET;265;4240.00
MDXHEALTH;BE0003844611;MDXH;"Euronext Brussels";EUR;0.87;0.872;0.86;0.864;"18/01/22 17:35";CET;23226;20132.21
MELEXIS;BE0165385973;MELE;"Euronext Brussels";EUR;101.60;101.70;99.15;99.20;"18/01/22 17:35";CET;17817;1776335.75
"MICROSOFT CORP SPL";US5949181045;MSF;"Traded not listed Brussels";USD;310.55;321.00;302.25;309.45;"18/01/22 16:32";CET;366;113273.90
MIKO;BE0003731453;MIKO;"Euronext Brussels";EUR;105.00;105.00;104.00;104.00;"18/01/22 16:30";CET;127;13285.00
MITHRA;BE0974283153;MITRA;"Euronext Brussels";EUR;21.25;21.25;20.55;21.15;"18/01/22 17:35";CET;67985;1430801.05
MONTEA;BE0003853703;MONT;"Euronext Brussels, Paris";EUR;129.60;129.60;125.80;125.80;"18/01/22 17:35";CET;14007;1776189.60
MOPOLI;NL0000488153;MOP;"Euronext Brussels";EUR;306.00;306.00;306.00;306.00;"20/12/21 11:30";CET;1;306.00
"MOPOLI FOND";NL0000488161;MOPF;"Euronext Brussels";EUR;8100.00;8100.00;8100.00;8100.00;"25/10/21 16:59";CET;1;8100.00
"MOURY CONSTRUCT";BE0003602134;MOUR;"Euronext Brussels";EUR;326.00;328.00;326.00;328.00;"18/01/22 16:37";CET;30;9830.00
"MUNCHENER RUCKVERS";DE0008430026;MEURV;"Traded not listed Brussels";EUR;273.00;273.00;273.00;273.00;"17/01/22 11:34";CET;5;1365.00
NEUFCOUR-FIN.;BE0003680916;MLNEU;"Euronext Access Brussels";EUR;12.10;12.10;12.10;12.10;"13/01/22 16:30";CET;2094;25337.40
NEWTREE;BE0003832491;NEWT;"Euronext Access Brussels";EUR;1.75;1.75;1.75;1.75;"04/01/22 11:30";CET;73;127.75
NEXTENSA;BE0003770840;NEXTA;"Euronext Brussels";EUR;77.50;77.50;76.20;77.00;"18/01/22 17:35";CET;2338;179326.20
NYRSTAR;BE0974294267;NYR;"Euronext Brussels";EUR;0.294;0.2945;0.2825;0.2825;"18/01/22 17:29";CET;41902;12185.04
NYXOAH;BE0974358906;NYXH;"Euronext Brussels";EUR;19.18;19.18;18.74;19.06;"18/01/22 17:35";CET;1159;21980.82
"OCCIDENTAL PETROL.";US6745991058;OCPET;"Traded not listed Brussels";USD;21.00;21.00;21.00;21.00;"10/06/20 10:38";CET;7;147.00
"ONTEX GROUP";BE0974276082;ONTEX;"Euronext Brussels";EUR;7.275;7.275;7.06;7.09;"18/01/22 17:35";CET;205914;1468294.14
